;category_flower;category_types;prominence;nrflowers_upper;nrtypes_upper;crowd_nrflowers_mean;crowd_nrtypes_mean;nrmajority_labels;IN RANGE;DIFF_#F;DIFF_#TY;DIFF_MAJ#TY; LESS -1; -1 < X < 0; = 0; = 0 > X <= 2; = >2
1;easy;easy;TRUE;1;1;7,142857143;1;1;0;-6,142857143;0;0;1;0;0;0;0
2;medium;medium;FALSE;5;2;1,5;1;1;0;3,5;1;4;0;0;0;0;1
3;hard;medium;FALSE;8;2;7;2,166666667;0;1;1;-0,166666667;8;0;0;0;1;0
4;easy;easy;TRUE;2;1;1,857142857;1;2;1;0,142857143;0;0;0;0;0;1;0
5;easy;easy;TRUE;1;1;1;1;1;0;0;0;0;0;0;1;0;0
6;easy;easy;TRUE;1;1;1;1;1;0;0;0;0;0;0;1;0;0
7;easy;easy;TRUE;3;1;2;1,125;1;1;1;-0,125;2;0;0;0;1;0
8;hard;easy;TRUE;13;1;2,5;1;0;1;10,5;0;13;0;0;0;0;1
9;easy;easy;TRUE;2;1;2;1,2;1;0;0;-0,2;1;0;0;1;0;0
10;hard;medium;FALSE;25;2;14,5;2;1;1;10,5;0;24;0;0;0;0;1
11;hard;medium;FALSE;7;2;4,428571429;1;1;1;2,571428571;1;6;0;0;0;0;1
12;hard;hard;FALSE;90;12;27;5;2;1;63;7;88;0;0;0;0;1
13;easy;easy;TRUE;3;1;3;1;1;0;0;0;2;0;0;1;0;0
14;medium;easy;TRUE;22;1;13,75;1;0;1;8,25;0;22;0;0;0;0;1
15;medium;easy;TRUE;16;6;11,28571429;4,571428571;2;1;4,714285714;1,428571429;14;0;0;0;0;1
16;easy;easy;TRUE;13;6;10,14285714;4,714285714;2;1;2,857142857;1,285714286;11;0;0;0;0;1
17;medium;medium;FALSE;4;2;10,8;1,8;1;0;-6,8;0,2;3;1;0;0;0;0
18;easy;easy;FALSE;1;1;1,142857143;1,142857143;1;0;-0,142857143;-0,142857143;0;0;1;0;0;0
19;medium;easy;FALSE;3;1;3,166666667;1;2;0;-0,166666667;0;1;0;1;0;0;0
20;easy;easy;FALSE;3;1;2,142857143;1,285714286;1;1;0,857142857;-0,285714286;2;0;0;0;1;0
21;hard;easy;FALSE;5;1;3,4;1,4;1;1;1,6;-0,4;4;0;0;0;1;0
22;medium;medium;FALSE;2;2;1;1;1;0;1;1;1;0;0;0;1;0
23;hard;medium;FALSE;30;6;12;3,75;1;1;18;2,25;29;0;0;0;0;1
24;easy;easy;FALSE;3;1;3;1;1;0;0;0;2;0;0;1;0;0
