image_id,image_url,image_url_small,amount, prominence,test_data,nrflowers_lower,nrflowers_upper,nrtypes_lower,nrtypes_upper
RP-P-1883-A-6931,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1883-A-6931,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1883-A-6931&aria/maxwidth_590, single,TRUE,FALSE,1,1,1,1
RP-P-OB-44.747,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-44.747,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-44.747&aria/maxwidth_590, multiple,FALSE,FALSE,3,5,1,2
RP-P-1908-4315,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1908-4315,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1908-4315&aria/maxwidth_590, multiple,FALSE,FALSE,2,8,1,2
RP-P-1883-A-7298,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1883-A-7298,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1883-A-7298&aria/maxwidth_590, single,TRUE,TRUE,2,2,1,1
RP-P-1903-A-24091,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1903-A-24091,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1903-A-24091&aria/maxwidth_590, single,TRUE,TRUE,1,1,1,1
RP-P-1939-883,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1939-883,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1939-883&aria/maxwidth_590, single,TRUE,TRUE,1,1,1,1
RP-P-OB-24.199,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-24.199,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-24.199&aria/maxwidth_590, multiple,TRUE,TRUE,3,3,1,1
RP-P-1878-A-1872X,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-1878-A-1872X&aria/maxwidth_590, single,TRUE,FALSE,10,13,1,1
RP-P-OB-50.104,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-50.104,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-50.104&aria/maxwidth_590, single,TRUE,TRUE,2,2,1,1
RP-P-OB-81.404,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-81.404,https://www.rijksmuseum.nl/assetimage2.jsp?id=RP-P-OB-81.404&aria/maxwidth_590, multiple,FALSE,FALSE,10,25,1,2
