worker_id,external_id,judgments_count,missed_count,golds_count,missed_test_percentage,agreement,forgiven_count,feedback_count,frontload_count,frontload_missed,channel,country,region,city,last_ip,flagged_at,rejected_at,approved_at,bonus,flag_reason,trust_overall,submission_rate,level_1_contributors
1865576,407480,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
1868958,690137,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
1974930,879430,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
2196576,331673,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
2373506,2378934,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
2811567,363053,5,3,4,0.75,,0,0,0,0,treasuretrooper,USA,NJ,Jersey City,100.1.210.151,,,,0,,0.25,0,1
3056891,1952788,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
3194668,3543766,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
3216694,3524909,5,2,4,0.5,,0,0,0,0,prodege,USA,GA,Atlanta,108.248.149.121,,,,0,,0.5,0,1
3362084,3467220,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
3409484,1479796,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
3583774,3450812,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
3731467,3724974,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
4389600,1190387,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
4687106,xyz2010,5,4,4,1,,0,0,0,0,zoombucks,USA,AL,Birmingham,164.111.88.119,,,,0,,0,0,1
4707259,wintersnow,0,0,0,#DIV/0!,,0,0,0,0,zoombucks,,,,,,,,0,,1,0,1
4748204,4018165,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
4897650,4055101,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
5013710,273690,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
5027066,4096167,20,0,6,0,,0,0,0,0,prodege,USA,PA,Doylestown,173.49.91.231,2/12/14 7:56,,,0,Worker did not understand task. Entered ‰ÛÏno name on the picture‰Ûù in most comments.,1,30,1
5249180,judkis,0,0,0,#DIV/0!,,0,0,0,0,zoombucks,,,,,,,,0,,1,0,1
5471707,3934855,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
5518655,4289351,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
5551648,3855535,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
5643547,2015447,0,0,0,#DIV/0!,,0,0,0,0,fusioncash,,,,,,,,0,,1,0,1
5756594,manoj_86,15,1,4,0.25,,0,0,0,0,getpaid,USA,AZ,Tempe,184.95.55.22,,,,0,,0.75,300,1
5915389,4431822,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
5917071,1969485,0,0,0,#DIV/0!,,0,0,0,0,fusioncash,,,,,,,,0,,1,0,1
5981433,4846,0,0,0,#DIV/0!,,0,0,0,0,crowdguru,,,,,,,,0,,1,0,1
6090733,4499938,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
6152701,2289900,0,0,0,#DIV/0!,,0,0,0,0,fusioncash,,,,,,,,0,,1,0,1
6330586,3862663,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6331514,2074748,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6333422,3274588,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6336109,3694924,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6338348,3830812,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6338920,3932762,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6339681,3946090,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6347040,3431491,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6347255,3774257,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6348848,2477671,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6352852,3741986,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6354213,3891535,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6375284,2983574,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6377766,2078197,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6392394,3048655,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6407161,3926009,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6408804,3322729,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6409472,3032772,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6426168,3766969,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6442299,3781454,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6450601,3593750,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6450761,2083533,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6452827,3893514,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6459960,3957492,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6466414,3978482,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6479659,3710199,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6492439,3983265,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6524427,3991510,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6539898,3994218,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6540218,3947566,10,0,5,0,,0,0,0,0,clixsense,HUN,15,PÌ©cs,94.21.78.68,,,,0,,1,300,1
6561092,3996013,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6581575,1183285,0,0,0,#DIV/0!,,0,0,0,0,memolink,,,,,,,,0,,1,0,1
6599120,3735023,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6690913,4015116,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6713206,2046621,0,0,0,#DIV/0!,,0,0,0,0,fusioncash,,,,,,,,0,,1,0,1
6737450,3406329,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6775029,3959070,12,3,6,0.5,,0,0,0,0,clixsense,TUR,54,Sakarya,88.245.150.92,,,,0,,0.5,240,1
6885263,4023004,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
6891381,4759411,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
6994311,2638260,5,3,3,1,,0,0,0,0,clixsense,PAK,3,Peshawar,182.181.153.77,,,,0,,0,0,1
7012325,2282221,0,0,0,#DIV/0!,,0,0,0,0,fusioncash,,,,,,,,0,,1,0,1
7105793,3025378,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
7141293,3939743,10,3,5,0.6,,0,0,0,0,clixsense,RUS,,,89.204.89.159,,,,0,,0.4,30,1
7166713,brenda111,0,0,0,#DIV/0!,,0,0,0,0,getpaid,,,,,,,,0,,1,0,1
7276208,2817356,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
7299979,precy,0,0,0,#DIV/0!,,0,0,0,0,getpaid,,,,,,,,0,,1,0,1
7333195,4833707,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
7432835,4071970,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
7468627,2139590,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
7476554,3410644,0,0,0,#DIV/0!,,0,0,0,0,sendearnings,,,,,,,,0,,1,0,1
7557336,4083868,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
7609076,4088016,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
7784947,4963507,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
7857021,4112126,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
7997794,3436909,0,0,0,#DIV/0!,,0,0,0,0,sendearnings,,,,,,,,0,,1,0,1
8042299,4084516,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
8137958,4135508,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
8336085,5107536,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
8393877,5113917,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
8583061,ivanstas,7,3,5,0.6,,0,0,0,0,getpaid,ITA,7,Ariccia,2.38.118.133,,,,0,,0.4,300,1
8627160,4181574,33,3,11,0.272727273,,0,0,0,0,clixsense,RUS,47,Orekhovo-zuevo,95.73.74.233,,,,0,,0.7273,22,1
8664322,4179481,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
8692439,5188789,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
8835855,3281320,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
8953045,3167419,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
8963487,StarlingWebCo,0,0,0,#DIV/0!,,0,0,0,0,zoombucks,,,,,,,,0,,1,0,1
9061530,5272140,0,0,0,#DIV/0!,,0,0,0,0,prodege,,,,,,,,0,,1,0,1
9322873,2972298,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
9492762,5415177,5,1,3,0.333333333,,0,0,0,0,prodege,GBR,H9,London,86.136.155.147,,,,0,,0.6667,300,1
9801246,4314853,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
10099467,4354403,7,2,3,0.666666667,,0,0,0,0,clixsense,PHL,B7,Cebu City,112.207.198.90,,,,0,,0.3333,210,1
10110473,4356180,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
10133571,4357678,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
10438710,3516892,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
10627959,4385837,0,0,0,#DIV/0!,,0,0,0,0,clixsense,,,,,,,,0,,1,0,1
